Source,Target,Weight
99,0,2
99,28,2
99,2,2
99,76,2
99,25,2
19,74,2
24,74,2
74,0,2
74,28,2
74,2,2
74,76,2
74,25,2
19,39,150
2,38,6
48,38,5
82,38,5
36,38,5
24,38,5
41,38,23
31,38,5
28,38,5
30,38,5
21,38,5
23,38,5
76,38,22
37,38,5
25,38,22
40,48,6
40,0,10
82,40,6
36,40,6
24,40,6
41,40,6
40,31,18
40,28,6
40,30,6
40,21,7
40,23,7
40,76,6
40,37,6
40,25,6
158,9,64
137,9,65
9,48,67
122,9,24
123,9,24
124,9,24
125,9,24
116,9,64
126,9,24
127,9,26
158,135,79
158,20,79
158,43,79
158,58,79
158,57,79
158,137,64
158,48,64
158,122,24
158,123,24
158,124,24
158,125,24
158,0,79
158,116,79
158,126,39
158,127,39
158,51,68
135,48,66
135,122,24
135,123,24
135,124,24
135,125,24
135,116,79
135,126,39
135,127,41
122,20,24
20,123,24
20,124,24
137,48,65
122,137,24
123,137,24
124,137,24
125,137,24
116,137,64
126,137,24
127,137,25
122,48,24
123,48,24
124,48,24
125,48,24
116,48,66
126,48,24
122,0,24
123,0,24
124,0,24
125,0,24
0,116,83
0,126,39
144,22,5
40,22,5
145,22,5
146,22,5
77,22,5
147,22,5
148,22,5
104,22,5
149,22,5
150,22,5
151,22,5
79,22,5
144,97,55
144,98,55
40,97,55
40,98,55
145,97,55
145,98,55
146,97,55
146,98,55
97,100,55
147,97,55
148,97,55
97,149,55
97,101,55
97,102,55
97,150,55
97,151,55
98,100,55
147,98,55
148,98,55
149,98,55
98,101,55
98,102,55
98,150,55
98,151,55
75,41,27
11,41,1
16,41,1
99,41,1
41,74,1
19,38,3
19,40,4
82,32,118
24,32,98
28,32,98
24,43,91
24,57,91
24,51,66
43,31,68
43,28,91
31,57,68
31,51,50
28,57,91
28,51,66
159,0,263
128,0,263
129,0,263
160,0,263
71,0,263
131,0,263
132,0,263
133,0,263
161,0,263
162,0,263
0,134,263
159,32,259
128,32,259
129,32,259
160,32,259
73,32,259
71,32,259
131,32,259
132,32,259
133,32,259
161,32,259
162,32,259
32,4,248
32,3,259
32,134,259
32,5,256
159,94,259
128,94,259
129,94,259
160,94,259
73,94,259
71,94,259
131,94,259
132,94,259
133,94,259
161,94,259
162,94,259
94,4,248
94,3,259
94,134,259
94,5,256
2,94,257
30,94,259
159,128,313
159,129,313
159,160,313
159,73,313
159,71,264
159,131,313
159,132,313
159,133,313
159,161,313
159,162,313
159,4,252
159,3,313
159,134,313
159,5,306
159,2,258
159,30,264
128,160,313
128,161,313
128,162,313
128,2,258
128,30,264
129,160,313
129,161,313
129,162,313
129,2,258
129,30,264
160,73,313
160,71,264
160,131,313
160,132,313
160,133,313
160,161,313
160,162,313
160,4,252
160,3,313
160,134,313
160,5,306
160,2,258
160,30,264
73,161,313
73,162,313
71,161,264
71,162,264
71,30,264
131,161,313
131,162,313
131,2,258
131,30,264
132,161,313
132,162,313
132,2,258
132,30,264
133,161,313
133,162,313
133,2,258
133,30,264
161,162,313
161,4,252
161,3,313
161,134,313
161,5,306
161,2,258
161,30,264
162,4,252
162,3,313
162,134,313
162,5,306
162,2,258
162,30,264
30,4,252
2,134,258
30,134,264
30,5,257
97,2,7
98,2,7
40,80,36
147,80,36
148,80,36
104,80,36
77,80,36
97,80,36
149,80,36
98,80,36
150,80,36
151,80,36
144,80,36
12,80,36
145,80,36
146,80,36
79,80,31
104,29,5
29,97,5
29,98,5
77,29,5
12,29,5
29,100,5
40,29,5
147,29,5
148,29,5
29,149,5
29,101,5
29,102,5
29,150,5
29,151,5
144,29,5
145,29,5
146,29,5
54,48,45
54,82,46
54,24,40
54,41,66
54,31,37
54,28,40
54,30,48
54,76,63
52,48,1
18,52,18
52,82,1
52,36,1
52,19,1
52,24,1
52,41,19
52,31,1
52,45,1
52,28,1
52,30,1
52,46,1
52,76,18
52,37,1
52,25,18
45,23,3
32,46,8
39,46,8
82,22,47
24,22,27
28,22,27
22,76,47
22,25,50
18,49,108
82,60,34
82,49,70
36,49,51
19,60,44
19,49,96
24,60,24
24,49,50
43,60,46
45,60,17
60,28,24
60,57,47
60,46,17
60,76,34
60,51,39
60,25,34
28,49,50
49,30,107
49,46,18
49,76,70
49,25,73
18,61,74
82,61,37
36,61,17
19,61,62
24,61,17
43,61,74
45,61,15
60,61,38
0,61,74
28,61,17
49,61,74
61,22,74
61,30,74
61,46,15
61,76,37
61,37,36
61,25,40
105,159,49
105,128,49
105,129,49
105,160,49
105,73,49
105,71,49
105,131,49
105,132,49
105,133,49
105,161,49
105,162,49
105,4,49
105,3,49
105,134,49
105,0,49
105,30,49
159,106,98
159,107,49
159,1,172
159,108,49
128,106,98
128,107,49
128,1,172
128,108,49
106,129,98
106,160,98
106,73,98
106,71,49
106,131,98
106,132,98
106,133,98
106,161,98
106,162,98
106,4,49
106,134,98
106,0,49
106,30,49
129,107,49
129,1,172
129,108,49
107,160,49
107,73,49
107,71,49
107,131,49
107,132,49
107,133,49
107,161,49
107,162,49
107,4,49
107,3,49
107,134,49
107,0,49
107,30,49
1,160,172
1,73,172
1,71,123
1,131,172
1,132,172
1,133,172
1,161,172
1,162,172
1,4,111
1,3,172
1,134,172
1,0,122
1,30,123
160,108,49
73,108,49
71,108,49
131,108,49
132,108,49
133,108,49
161,108,49
162,108,49
108,4,49
108,3,49
108,134,49
108,0,49
108,30,49
159,70,85
159,130,216
159,7,36
159,72,167
70,128,85
70,129,85
70,130,85
70,1,85
70,160,85
70,73,85
70,71,36
70,131,85
70,132,85
70,133,85
70,161,85
70,162,85
70,72,36
70,134,85
70,30,36
128,7,36
129,7,36
130,1,123
130,160,216
130,7,36
130,161,216
130,162,216
130,2,167
130,30,167
1,7,36
1,72,74
1,5,165
1,2,117
160,7,36
160,72,167
73,7,36
71,7,36
131,7,36
7,132,36
7,133,36
7,161,36
7,162,36
7,72,36
7,134,36
7,30,36
161,72,167
162,72,167
30,72,167
61,51,59
130,0,166
130,32,166
130,94,166
0,72,166
32,72,166
94,72,166
109,159,49
109,70,49
109,128,49
109,129,49
109,130,49
109,1,49
109,160,49
109,73,49
109,131,49
109,132,49
109,133,49
109,161,49
109,162,49
109,6,49
109,134,49
109,5,49
159,8,49
159,110,49
159,6,49
159,111,49
70,8,49
70,106,49
70,110,49
70,6,49
70,111,49
8,128,49
8,129,49
8,130,49
8,1,49
8,160,49
8,73,49
8,131,49
8,132,49
8,133,49
8,161,49
8,162,49
8,6,49
8,134,49
8,5,49
128,110,49
128,6,49
128,111,49
106,130,49
106,6,49
106,5,91
